FIPStxt,State,Area_Name,Attribute,Value
1000,AL,Alabama,ESTIMATES_BASE_2020,5024294
1000,AL,Alabama,POP_ESTIMATE_2020,5031864
1000,AL,Alabama,POP_ESTIMATE_2021,5050380
1000,AL,Alabama,POP_ESTIMATE_2022,5073903
1000,AL,Alabama,POP_ESTIMATE_2023,5108468
1000,AL,Alabama,N_POP_CHG_2020,7570
1000,AL,Alabama,N_POP_CHG_2021,18516
1000,AL,Alabama,N_POP_CHG_2022,23523
1000,AL,Alabama,N_POP_CHG_2023,34565
1000,AL,Alabama,BIRTHS_2020,13867
1000,AL,Alabama,BIRTHS_2021,57184
1000,AL,Alabama,BIRTHS_2022,58106
1000,AL,Alabama,BIRTHS_2023,58251
1000,AL,Alabama,DEATHS_2020,15165
1000,AL,Alabama,DEATHS_2021,69135
1000,AL,Alabama,DEATHS_2022,67208
1000,AL,Alabama,DEATHS_2023,59813
1000,AL,Alabama,NATURAL_CHG_2020,-1298
1000,AL,Alabama,NATURAL_CHG_2021,-11951
1000,AL,Alabama,NATURAL_CHG_2022,-9102
1000,AL,Alabama,NATURAL_CHG_2023,-1562
1000,AL,Alabama,INTERNATIONAL_MIG_2020,125
1000,AL,Alabama,INTERNATIONAL_MIG_2021,1806
1000,AL,Alabama,INTERNATIONAL_MIG_2022,4374
1000,AL,Alabama,INTERNATIONAL_MIG_2023,5384
1000,AL,Alabama,DOMESTIC_MIG_2020,9615
1000,AL,Alabama,DOMESTIC_MIG_2021,27715
1000,AL,Alabama,DOMESTIC_MIG_2022,28464
1000,AL,Alabama,DOMESTIC_MIG_2023,30744
1000,AL,Alabama,NET_MIG_2020,9740
1000,AL,Alabama,NET_MIG_2021,29521
1000,AL,Alabama,NET_MIG_2022,32838
1000,AL,Alabama,NET_MIG_2023,36128
1000,AL,Alabama,RESIDUAL_2020,-872
1000,AL,Alabama,RESIDUAL_2021,946
1000,AL,Alabama,RESIDUAL_2022,-213
1000,AL,Alabama,RESIDUAL_2023,-1
1000,AL,Alabama,GQ_ESTIMATES_BASE_2020,127914
1000,AL,Alabama,GQ_ESTIMATES_2020,131372
1000,AL,Alabama,GQ_ESTIMATES_2021,134653
1000,AL,Alabama,GQ_ESTIMATES_2022,141654
1000,AL,Alabama,GQ_ESTIMATES_2023,144014
1000,AL,Alabama,R_BIRTH_2021,11.3
1000,AL,Alabama,R_BIRTH_2022,11.5
1000,AL,Alabama,R_BIRTH_2023,11.4
1000,AL,Alabama,R_DEATH_2021,13.7
1000,AL,Alabama,R_DEATH_2022,13.3
1000,AL,Alabama,R_DEATH_2023,11.7
1000,AL,Alabama,R_NATURAL_CHG_2021,-2.4
1000,AL,Alabama,R_NATURAL_CHG_2022,-1.8
1000,AL,Alabama,R_NATURAL_CHG_2023,-0.3
1000,AL,Alabama,R_INTERNATIONAL_MIG_2021,0.4
1000,AL,Alabama,R_INTERNATIONAL_MIG_2022,0.9
1000,AL,Alabama,R_INTERNATIONAL_MIG_2023,1.1
1000,AL,Alabama,R_DOMESTIC_MIG_2021,5.5
1000,AL,Alabama,R_DOMESTIC_MIG_2022,5.6
1000,AL,Alabama,R_DOMESTIC_MIG_2023,6
1000,AL,Alabama,R_NET_MIG_2021,5.9
1000,AL,Alabama,R_NET_MIG_2022,6.5
1000,AL,Alabama,R_NET_MIG_2023,7.1
1001,AL,Autauga County,Rural_Urban_Continuum_Code_2013,2
1001,AL,Autauga County,Rural_Urban_Continuum_Code_2023,2
1001,AL,Autauga County,Urban_Influence_2013,2
1001,AL,Autauga County,Economic_typology_2015,0
1001,AL,Autauga County,CENSUS_2020_POP,58805
1001,AL,Autauga County,ESTIMATES_BASE_2020,58809
1001,AL,Autauga County,POP_ESTIMATE_2020,58915
1001,AL,Autauga County,POP_ESTIMATE_2021,59203
1001,AL,Autauga County,POP_ESTIMATE_2022,59726
1001,AL,Autauga County,POP_ESTIMATE_2023,60342
1001,AL,Autauga County,N_POP_CHG_2020,106
1001,AL,Autauga County,N_POP_CHG_2021,288
1001,AL,Autauga County,N_POP_CHG_2022,523
1001,AL,Autauga County,N_POP_CHG_2023,616
1001,AL,Autauga County,BIRTHS_2020,162
1001,AL,Autauga County,BIRTHS_2021,686
1001,AL,Autauga County,BIRTHS_2022,706
1001,AL,Autauga County,BIRTHS_2023,714
1001,AL,Autauga County,DEATHS_2020,176
1001,AL,Autauga County,DEATHS_2021,696
1001,AL,Autauga County,DEATHS_2022,687
1001,AL,Autauga County,DEATHS_2023,621
1001,AL,Autauga County,NATURAL_CHG_2020,-14
1001,AL,Autauga County,NATURAL_CHG_2021,-10
1001,AL,Autauga County,NATURAL_CHG_2022,19
1001,AL,Autauga County,NATURAL_CHG_2023,93
1001,AL,Autauga County,INTERNATIONAL_MIG_2020,0
1001,AL,Autauga County,INTERNATIONAL_MIG_2021,15
1001,AL,Autauga County,INTERNATIONAL_MIG_2022,22
1001,AL,Autauga County,INTERNATIONAL_MIG_2023,34
1001,AL,Autauga County,DOMESTIC_MIG_2020,100
1001,AL,Autauga County,DOMESTIC_MIG_2021,242
1001,AL,Autauga County,DOMESTIC_MIG_2022,507
1001,AL,Autauga County,DOMESTIC_MIG_2023,491
1001,AL,Autauga County,NET_MIG_2020,100
1001,AL,Autauga County,NET_MIG_2021,257
1001,AL,Autauga County,NET_MIG_2022,529
1001,AL,Autauga County,NET_MIG_2023,525
1001,AL,Autauga County,RESIDUAL_2020,20
1001,AL,Autauga County,RESIDUAL_2021,41
1001,AL,Autauga County,RESIDUAL_2022,-25
1001,AL,Autauga County,RESIDUAL_2023,-2
1001,AL,Autauga County,GQ_ESTIMATES_BASE_2020,484
1001,AL,Autauga County,GQ_ESTIMATES_2020,484
1001,AL,Autauga County,GQ_ESTIMATES_2021,484
1001,AL,Autauga County,GQ_ESTIMATES_2022,484
1001,AL,Autauga County,GQ_ESTIMATES_2023,484
1001,AL,Autauga County,R_BIRTH_2021,11.6
1001,AL,Autauga County,R_BIRTH_2022,11.9
1001,AL,Autauga County,R_BIRTH_2023,11.9
1001,AL,Autauga County,R_DEATH_2021,11.8
1001,AL,Autauga County,R_DEATH_2022,11.6
1001,AL,Autauga County,R_DEATH_2023,10.3
1001,AL,Autauga County,R_NATURAL_CHG_2021,-0.2
1001,AL,Autauga County,R_NATURAL_CHG_2022,0.3
1001,AL,Autauga County,R_NATURAL_CHG_2023,1.5
1001,AL,Autauga County,R_INTERNATIONAL_MIG_2021,0.3
1001,AL,Autauga County,R_INTERNATIONAL_MIG_2022,0.4
1001,AL,Autauga County,R_INTERNATIONAL_MIG_2023,0.6
1001,AL,Autauga County,R_DOMESTIC_MIG_2021,4.1
1001,AL,Autauga County,R_DOMESTIC_MIG_2022,8.5
1001,AL,Autauga County,R_DOMESTIC_MIG_2023,8.2
1001,AL,Autauga County,R_NET_MIG_2021,4.4
1001,AL,Autauga County,R_NET_MIG_2022,8.9
1001,AL,Autauga County,R_NET_MIG_2023,8.7
1003,AL,Baldwin County,Rural_Urban_Continuum_Code_2013,3
1003,AL,Baldwin County,Rural_Urban_Continuum_Code_2023,3
1003,AL,Baldwin County,Urban_Influence_2013,2
1003,AL,Baldwin County,Economic_typology_2015,5
1003,AL,Baldwin County,CENSUS_2020_POP,231767
1003,AL,Baldwin County,ESTIMATES_BASE_2020,231768
1003,AL,Baldwin County,POP_ESTIMATE_2020,233227
1003,AL,Baldwin County,POP_ESTIMATE_2021,239439
1003,AL,Baldwin County,POP_ESTIMATE_2022,246531
1003,AL,Baldwin County,POP_ESTIMATE_2023,253507
1003,AL,Baldwin County,N_POP_CHG_2020,1459
1003,AL,Baldwin County,N_POP_CHG_2021,6212
1003,AL,Baldwin County,N_POP_CHG_2022,7092
1003,AL,Baldwin County,N_POP_CHG_2023,6976
1003,AL,Baldwin County,BIRTHS_2020,560
1003,AL,Baldwin County,BIRTHS_2021,2337
1003,AL,Baldwin County,BIRTHS_2022,2511
1003,AL,Baldwin County,BIRTHS_2023,2531
1003,AL,Baldwin County,DEATHS_2020,602
1003,AL,Baldwin County,DEATHS_2021,2948
1003,AL,Baldwin County,DEATHS_2022,3022
1003,AL,Baldwin County,DEATHS_2023,2640
1003,AL,Baldwin County,NATURAL_CHG_2020,-42
1003,AL,Baldwin County,NATURAL_CHG_2021,-611
1003,AL,Baldwin County,NATURAL_CHG_2022,-511
1003,AL,Baldwin County,NATURAL_CHG_2023,-109
1003,AL,Baldwin County,INTERNATIONAL_MIG_2020,11
1003,AL,Baldwin County,INTERNATIONAL_MIG_2021,105
1003,AL,Baldwin County,INTERNATIONAL_MIG_2022,250
1003,AL,Baldwin County,INTERNATIONAL_MIG_2023,291
1003,AL,Baldwin County,DOMESTIC_MIG_2020,1613
1003,AL,Baldwin County,DOMESTIC_MIG_2021,6972
1003,AL,Baldwin County,DOMESTIC_MIG_2022,7036
1003,AL,Baldwin County,DOMESTIC_MIG_2023,6804
1003,AL,Baldwin County,NET_MIG_2020,1624
1003,AL,Baldwin County,NET_MIG_2021,7077
1003,AL,Baldwin County,NET_MIG_2022,7286
1003,AL,Baldwin County,NET_MIG_2023,7095
1003,AL,Baldwin County,RESIDUAL_2020,-123
1003,AL,Baldwin County,RESIDUAL_2021,-254
1003,AL,Baldwin County,RESIDUAL_2022,317
1003,AL,Baldwin County,RESIDUAL_2023,-10
1003,AL,Baldwin County,GQ_ESTIMATES_BASE_2020,3549
1003,AL,Baldwin County,GQ_ESTIMATES_2020,3448
1003,AL,Baldwin County,GQ_ESTIMATES_2021,3351
1003,AL,Baldwin County,GQ_ESTIMATES_2022,3468
1003,AL,Baldwin County,GQ_ESTIMATES_2023,3493
1003,AL,Baldwin County,R_BIRTH_2021,9.9
1003,AL,Baldwin County,R_BIRTH_2022,10.3
1003,AL,Baldwin County,R_BIRTH_2023,10.1
1003,AL,Baldwin County,R_DEATH_2021,12.5
1003,AL,Baldwin County,R_DEATH_2022,12.4
1003,AL,Baldwin County,R_DEATH_2023,10.6
1003,AL,Baldwin County,R_NATURAL_CHG_2021,-2.6
1003,AL,Baldwin County,R_NATURAL_CHG_2022,-2.1
1003,AL,Baldwin County,R_NATURAL_CHG_2023,-0.4
1003,AL,Baldwin County,R_INTERNATIONAL_MIG_2021,0.4
1003,AL,Baldwin County,R_INTERNATIONAL_MIG_2022,1
1003,AL,Baldwin County,R_INTERNATIONAL_MIG_2023,1.2
1003,AL,Baldwin County,R_DOMESTIC_MIG_2021,29.5
1003,AL,Baldwin County,R_DOMESTIC_MIG_2022,29
1003,AL,Baldwin County,R_DOMESTIC_MIG_2023,27.2
1003,AL,Baldwin County,R_NET_MIG_2021,29.9
1003,AL,Baldwin County,R_NET_MIG_2022,30
1003,AL,Baldwin County,R_NET_MIG_2023,28.4
1005,AL,Barbour County,Rural_Urban_Continuum_Code_2013,6
1005,AL,Barbour County,Rural_Urban_Continuum_Code_2023,6
1005,AL,Barbour County,Urban_Influence_2013,6
1005,AL,Barbour County,Economic_typology_2015,3
1005,AL,Barbour County,CENSUS_2020_POP,25223
1005,AL,Barbour County,ESTIMATES_BASE_2020,25229
1005,AL,Barbour County,POP_ESTIMATE_2020,24969
1005,AL,Barbour County,POP_ESTIMATE_2021,24533
1005,AL,Barbour County,POP_ESTIMATE_2022,24700
1005,AL,Barbour County,POP_ESTIMATE_2023,24585
1005,AL,Barbour County,N_POP_CHG_2020,-260
1005,AL,Barbour County,N_POP_CHG_2021,-436
1005,AL,Barbour County,N_POP_CHG_2022,167
1005,AL,Barbour County,N_POP_CHG_2023,-115
1005,AL,Barbour County,BIRTHS_2020,60
1005,AL,Barbour County,BIRTHS_2021,270
1005,AL,Barbour County,BIRTHS_2022,278
1005,AL,Barbour County,BIRTHS_2023,267
1005,AL,Barbour County,DEATHS_2020,92
1005,AL,Barbour County,DEATHS_2021,390
1005,AL,Barbour County,DEATHS_2022,363
1005,AL,Barbour County,DEATHS_2023,350
1005,AL,Barbour County,NATURAL_CHG_2020,-32
1005,AL,Barbour County,NATURAL_CHG_2021,-120
1005,AL,Barbour County,NATURAL_CHG_2022,-85
1005,AL,Barbour County,NATURAL_CHG_2023,-83
1005,AL,Barbour County,INTERNATIONAL_MIG_2020,0
1005,AL,Barbour County,INTERNATIONAL_MIG_2021,0
1005,AL,Barbour County,INTERNATIONAL_MIG_2022,2
1005,AL,Barbour County,INTERNATIONAL_MIG_2023,13
1005,AL,Barbour County,DOMESTIC_MIG_2020,-186
1005,AL,Barbour County,DOMESTIC_MIG_2021,-313
1005,AL,Barbour County,DOMESTIC_MIG_2022,237
1005,AL,Barbour County,DOMESTIC_MIG_2023,-45
1005,AL,Barbour County,NET_MIG_2020,-186
1005,AL,Barbour County,NET_MIG_2021,-313
1005,AL,Barbour County,NET_MIG_2022,239
1005,AL,Barbour County,NET_MIG_2023,-32
1005,AL,Barbour County,RESIDUAL_2020,-42
1005,AL,Barbour County,RESIDUAL_2021,-3
1005,AL,Barbour County,RESIDUAL_2022,13
1005,AL,Barbour County,RESIDUAL_2023,0
1005,AL,Barbour County,GQ_ESTIMATES_BASE_2020,2721
1005,AL,Barbour County,GQ_ESTIMATES_2020,2482
1005,AL,Barbour County,GQ_ESTIMATES_2021,2248
1005,AL,Barbour County,GQ_ESTIMATES_2022,2702
1005,AL,Barbour County,GQ_ESTIMATES_2023,2702
1005,AL,Barbour County,R_BIRTH_2021,10.9
1005,AL,Barbour County,R_BIRTH_2022,11.3
1005,AL,Barbour County,R_BIRTH_2023,10.8
1005,AL,Barbour County,R_DEATH_2021,15.8
1005,AL,Barbour County,R_DEATH_2022,14.7
1005,AL,Barbour County,R_DEATH_2023,14.2
1005,AL,Barbour County,R_NATURAL_CHG_2021,-4.8
1005,AL,Barbour County,R_NATURAL_CHG_2022,-3.5
1005,AL,Barbour County,R_NATURAL_CHG_2023,-3.4
1005,AL,Barbour County,R_INTERNATIONAL_MIG_2021,0
1005,AL,Barbour County,R_INTERNATIONAL_MIG_2022,0.1
1005,AL,Barbour County,R_INTERNATIONAL_MIG_2023,0.5
1005,AL,Barbour County,R_DOMESTIC_MIG_2021,-12.6
1005,AL,Barbour County,R_DOMESTIC_MIG_2022,9.6
1005,AL,Barbour County,R_DOMESTIC_MIG_2023,-1.8
1005,AL,Barbour County,R_NET_MIG_2021,-12.6
1005,AL,Barbour County,R_NET_MIG_2022,9.7
1005,AL,Barbour County,R_NET_MIG_2023,-1.3
1007,AL,Bibb County,Rural_Urban_Continuum_Code_2013,1
1007,AL,Bibb County,Rural_Urban_Continuum_Code_2023,1
1007,AL,Bibb County,Urban_Influence_2013,1
1007,AL,Bibb County,Economic_typology_2015,0
1007,AL,Bibb County,CENSUS_2020_POP,22293
1007,AL,Bibb County,ESTIMATES_BASE_2020,22301
1007,AL,Bibb County,POP_ESTIMATE_2020,22188
1007,AL,Bibb County,POP_ESTIMATE_2021,22359
1007,AL,Bibb County,POP_ESTIMATE_2022,21986
1007,AL,Bibb County,POP_ESTIMATE_2023,21868
1007,AL,Bibb County,N_POP_CHG_2020,-113
1007,AL,Bibb County,N_POP_CHG_2021,171
1007,AL,Bibb County,N_POP_CHG_2022,-373
1007,AL,Bibb County,N_POP_CHG_2023,-118
1007,AL,Bibb County,BIRTHS_2020,56
1007,AL,Bibb County,BIRTHS_2021,240
1007,AL,Bibb County,BIRTHS_2022,236
1007,AL,Bibb County,BIRTHS_2023,240
1007,AL,Bibb County,DEATHS_2020,55
1007,AL,Bibb County,DEATHS_2021,325
1007,AL,Bibb County,DEATHS_2022,314
1007,AL,Bibb County,DEATHS_2023,290
1007,AL,Bibb County,NATURAL_CHG_2020,1
1007,AL,Bibb County,NATURAL_CHG_2021,-85
1007,AL,Bibb County,NATURAL_CHG_2022,-78
1007,AL,Bibb County,NATURAL_CHG_2023,-50
1007,AL,Bibb County,INTERNATIONAL_MIG_2020,0
1007,AL,Bibb County,INTERNATIONAL_MIG_2021,1
1007,AL,Bibb County,INTERNATIONAL_MIG_2022,1
1007,AL,Bibb County,INTERNATIONAL_MIG_2023,1
1007,AL,Bibb County,DOMESTIC_MIG_2020,-101
1007,AL,Bibb County,DOMESTIC_MIG_2021,254
1007,AL,Bibb County,DOMESTIC_MIG_2022,-303
1007,AL,Bibb County,DOMESTIC_MIG_2023,-69
1007,AL,Bibb County,NET_MIG_2020,-101
1007,AL,Bibb County,NET_MIG_2021,255
1007,AL,Bibb County,NET_MIG_2022,-302
1007,AL,Bibb County,NET_MIG_2023,-68
1007,AL,Bibb County,RESIDUAL_2020,-13
1007,AL,Bibb County,RESIDUAL_2021,1
1007,AL,Bibb County,RESIDUAL_2022,7
1007,AL,Bibb County,RESIDUAL_2023,0
1007,AL,Bibb County,GQ_ESTIMATES_BASE_2020,2141
1007,AL,Bibb County,GQ_ESTIMATES_2020,2060
1007,AL,Bibb County,GQ_ESTIMATES_2021,1994
1007,AL,Bibb County,GQ_ESTIMATES_2022,2025
1007,AL,Bibb County,GQ_ESTIMATES_2023,1894
1007,AL,Bibb County,R_BIRTH_2021,10.8
1007,AL,Bibb County,R_BIRTH_2022,10.6
1007,AL,Bibb County,R_BIRTH_2023,10.9
1007,AL,Bibb County,R_DEATH_2021,14.6
1007,AL,Bibb County,R_DEATH_2022,14.2
1007,AL,Bibb County,R_DEATH_2023,13.2
1007,AL,Bibb County,R_NATURAL_CHG_2021,-3.8
1007,AL,Bibb County,R_NATURAL_CHG_2022,-3.5
1007,AL,Bibb County,R_NATURAL_CHG_2023,-2.3
1007,AL,Bibb County,R_INTERNATIONAL_MIG_2021,0
1007,AL,Bibb County,R_INTERNATIONAL_MIG_2022,0
1007,AL,Bibb County,R_INTERNATIONAL_MIG_2023,0
1007,AL,Bibb County,R_DOMESTIC_MIG_2021,11.4
1007,AL,Bibb County,R_DOMESTIC_MIG_2022,-13.7
1007,AL,Bibb County,R_DOMESTIC_MIG_2023,-3.1
1007,AL,Bibb County,R_NET_MIG_2021,11.4
1007,AL,Bibb County,R_NET_MIG_2022,-13.6
1007,AL,Bibb County,R_NET_MIG_2023,-3.1
1009,AL,Blount County,Rural_Urban_Continuum_Code_2013,1
1009,AL,Blount County,Rural_Urban_Continuum_Code_2023,1
1009,AL,Blount County,Urban_Influence_2013,1
1009,AL,Blount County,Economic_typology_2015,0
1009,AL,Blount County,CENSUS_2020_POP,59134
1009,AL,Blount County,ESTIMATES_BASE_2020,59130
1009,AL,Blount County,POP_ESTIMATE_2020,59107
1009,AL,Blount County,POP_ESTIMATE_2021,59079
1009,AL,Blount County,POP_ESTIMATE_2022,59516
1009,AL,Blount County,POP_ESTIMATE_2023,59816
1009,AL,Blount County,N_POP_CHG_2020,-23
1009,AL,Blount County,N_POP_CHG_2021,-28
1009,AL,Blount County,N_POP_CHG_2022,437
1009,AL,Blount County,N_POP_CHG_2023,300
1009,AL,Blount County,BIRTHS_2020,137
1009,AL,Blount County,BIRTHS_2021,654
1009,AL,Blount County,BIRTHS_2022,693
1009,AL,Blount County,BIRTHS_2023,698
1009,AL,Blount County,DEATHS_2020,199
1009,AL,Blount County,DEATHS_2021,875
1009,AL,Blount County,DEATHS_2022,846
1009,AL,Blount County,DEATHS_2023,776
1009,AL,Blount County,NATURAL_CHG_2020,-62
1009,AL,Blount County,NATURAL_CHG_2021,-221
1009,AL,Blount County,NATURAL_CHG_2022,-153
1009,AL,Blount County,NATURAL_CHG_2023,-78
1009,AL,Blount County,INTERNATIONAL_MIG_2020,1
1009,AL,Blount County,INTERNATIONAL_MIG_2021,9
1009,AL,Blount County,INTERNATIONAL_MIG_2022,8
1009,AL,Blount County,INTERNATIONAL_MIG_2023,24
1009,AL,Blount County,DOMESTIC_MIG_2020,21
1009,AL,Blount County,DOMESTIC_MIG_2021,141
1009,AL,Blount County,DOMESTIC_MIG_2022,589
1009,AL,Blount County,DOMESTIC_MIG_2023,358
1009,AL,Blount County,NET_MIG_2020,22
1009,AL,Blount County,NET_MIG_2021,150
1009,AL,Blount County,NET_MIG_2022,597
1009,AL,Blount County,NET_MIG_2023,382
1009,AL,Blount County,RESIDUAL_2020,17
1009,AL,Blount County,RESIDUAL_2021,43
1009,AL,Blount County,RESIDUAL_2022,-7
1009,AL,Blount County,RESIDUAL_2023,-4
1009,AL,Blount County,GQ_ESTIMATES_BASE_2020,616
1009,AL,Blount County,GQ_ESTIMATES_2020,616
1009,AL,Blount County,GQ_ESTIMATES_2021,616
1009,AL,Blount County,GQ_ESTIMATES_2022,616
1009,AL,Blount County,GQ_ESTIMATES_2023,616
1009,AL,Blount County,R_BIRTH_2021,11.1
1009,AL,Blount County,R_BIRTH_2022,11.7
1009,AL,Blount County,R_BIRTH_2023,11.7
1009,AL,Blount County,R_DEATH_2021,14.8
1009,AL,Blount County,R_DEATH_2022,14.3
1009,AL,Blount County,R_DEATH_2023,13
1009,AL,Blount County,R_NATURAL_CHG_2021,-3.7
1009,AL,Blount County,R_NATURAL_CHG_2022,-2.6
1009,AL,Blount County,R_NATURAL_CHG_2023,-1.3
1009,AL,Blount County,R_INTERNATIONAL_MIG_2021,0.2
1009,AL,Blount County,R_INTERNATIONAL_MIG_2022,0.1
1009,AL,Blount County,R_INTERNATIONAL_MIG_2023,0.4
1009,AL,Blount County,R_DOMESTIC_MIG_2021,2.4
1009,AL,Blount County,R_DOMESTIC_MIG_2022,9.9
1009,AL,Blount County,R_DOMESTIC_MIG_2023,6
1009,AL,Blount County,R_NET_MIG_2021,2.5
1009,AL,Blount County,R_NET_MIG_2022,10.1
1009,AL,Blount County,R_NET_MIG_2023,6.4
1011,AL,Bullock County,Rural_Urban_Continuum_Code_2013,6
1011,AL,Bullock County,Rural_Urban_Continuum_Code_2023,8
1011,AL,Bullock County,Urban_Influence_2013,6
1011,AL,Bullock County,Economic_typology_2015,3
1011,AL,Bullock County,CENSUS_2020_POP,10357
1011,AL,Bullock County,ESTIMATES_BASE_2020,10360
1011,AL,Bullock County,POP_ESTIMATE_2020,10229
1011,AL,Bullock County,POP_ESTIMATE_2021,10143
1011,AL,Bullock County,POP_ESTIMATE_2022,10143
1011,AL,Bullock County,POP_ESTIMATE_2023,9897
1011,AL,Bullock County,N_POP_CHG_2020,-131
1011,AL,Bullock County,N_POP_CHG_2021,-86
1011,AL,Bullock County,N_POP_CHG_2022,0
1011,AL,Bullock County,N_POP_CHG_2023,-246
1011,AL,Bullock County,BIRTHS_2020,24
1011,AL,Bullock County,BIRTHS_2021,111
1011,AL,Bullock County,BIRTHS_2022,103
1011,AL,Bullock County,BIRTHS_2023,102
1011,AL,Bullock County,DEATHS_2020,41
1011,AL,Bullock County,DEATHS_2021,160
1011,AL,Bullock County,DEATHS_2022,138
1011,AL,Bullock County,DEATHS_2023,133
1011,AL,Bullock County,NATURAL_CHG_2020,-17
1011,AL,Bullock County,NATURAL_CHG_2021,-49
1011,AL,Bullock County,NATURAL_CHG_2022,-35
1011,AL,Bullock County,NATURAL_CHG_2023,-31
1011,AL,Bullock County,INTERNATIONAL_MIG_2020,0
1011,AL,Bullock County,INTERNATIONAL_MIG_2021,1
1011,AL,Bullock County,INTERNATIONAL_MIG_2022,5
1011,AL,Bullock County,INTERNATIONAL_MIG_2023,6
1011,AL,Bullock County,DOMESTIC_MIG_2020,-94
1011,AL,Bullock County,DOMESTIC_MIG_2021,-42
1011,AL,Bullock County,DOMESTIC_MIG_2022,32
1011,AL,Bullock County,DOMESTIC_MIG_2023,-219
1011,AL,Bullock County,NET_MIG_2020,-94
1011,AL,Bullock County,NET_MIG_2021,-41
1011,AL,Bullock County,NET_MIG_2022,37
1011,AL,Bullock County,NET_MIG_2023,-213
1011,AL,Bullock County,RESIDUAL_2020,-20
1011,AL,Bullock County,RESIDUAL_2021,4
1011,AL,Bullock County,RESIDUAL_2022,-2
1011,AL,Bullock County,RESIDUAL_2023,-2
1011,AL,Bullock County,GQ_ESTIMATES_BASE_2020,1705
1011,AL,Bullock County,GQ_ESTIMATES_2020,1631
1011,AL,Bullock County,GQ_ESTIMATES_2021,1578
1011,AL,Bullock County,GQ_ESTIMATES_2022,1648
1011,AL,Bullock County,GQ_ESTIMATES_2023,1615
1011,AL,Bullock County,R_BIRTH_2021,10.9
1011,AL,Bullock County,R_BIRTH_2022,10.2
1011,AL,Bullock County,R_BIRTH_2023,10.2
1011,AL,Bullock County,R_DEATH_2021,15.7
1011,AL,Bullock County,R_DEATH_2022,13.6
1011,AL,Bullock County,R_DEATH_2023,13.3
1011,AL,Bullock County,R_NATURAL_CHG_2021,-4.8
1011,AL,Bullock County,R_NATURAL_CHG_2022,-3.5
1011,AL,Bullock County,R_NATURAL_CHG_2023,-3.1
1011,AL,Bullock County,R_INTERNATIONAL_MIG_2021,0.1
1011,AL,Bullock County,R_INTERNATIONAL_MIG_2022,0.5
1011,AL,Bullock County,R_INTERNATIONAL_MIG_2023,0.6
1011,AL,Bullock County,R_DOMESTIC_MIG_2021,-4.1
1011,AL,Bullock County,R_DOMESTIC_MIG_2022,3.2
1011,AL,Bullock County,R_DOMESTIC_MIG_2023,-21.9
1011,AL,Bullock County,R_NET_MIG_2021,-4
1011,AL,Bullock County,R_NET_MIG_2022,3.6
