id,pokemon,species_id,height,weight,base_experience,type_1,type_2,hp,attack,defense,special_attack,special_defense,speed,color_1,color_2,color_f,egg_group_1,egg_group_2,url_icon,generation_id,url_image
389,torterra,389,2.2,310,236,grass,ground,95,109,105,75,85,56,#78C850,#E0C068,#91C655,monster,plant,//archives.bulbagarden.net/media/upload/6/61/389MS6.png,4,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/389.png
409,rampardos,409,1.6,102.5,173,rock,NA,97,165,60,65,50,58,#B8A038,NA,NA,monster,NA,//archives.bulbagarden.net/media/upload/1/14/409MS6.png,4,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/409.png
420,cherubi,420,0.4,3.3,55,grass,NA,45,35,45,62,53,35,#78C850,NA,NA,fairy,plant,//archives.bulbagarden.net/media/upload/9/98/420MS6.png,4,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/420.png
437,bronzong,437,1.3,187,175,steel,psychic,67,89,116,79,116,33,#B8B8D0,#F85888,#C7A0BE,mineral,NA,//archives.bulbagarden.net/media/upload/f/fc/437MS6.png,4,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/437.png
448,lucario,448,1.2,54,184,fighting,steel,70,110,70,115,70,90,#C03028,#B8B8D0,#BE5050,ground,humanshape,//archives.bulbagarden.net/media/upload/1/14/448MS6.png,4,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/448.png
508,stoutland,508,1.2,61,225,normal,NA,85,110,90,45,90,80,#A8A878,NA,NA,ground,NA,//archives.bulbagarden.net/media/upload/7/74/508MS6.png,5,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/508.png
526,gigalith,526,1.7,260,232,rock,NA,85,135,130,60,80,25,#B8A038,NA,NA,mineral,NA,//archives.bulbagarden.net/media/upload/3/3b/526MS6.png,5,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/526.png
534,conkeldurr,534,1.4,87,227,fighting,NA,105,140,95,55,65,45,#C03028,NA,NA,humanshape,NA,//archives.bulbagarden.net/media/upload/6/6d/534MS6.png,5,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/534.png
565,carracosta,565,1.2,81,173,water,rock,74,108,133,83,65,32,#6890F0,#B8A038,#7B93C3,water1,water3,//archives.bulbagarden.net/media/upload/1/14/565MS6.png,5,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/565.png
585,deerling,585,0.6,19.5,67,normal,grass,60,60,50,40,50,75,#A8A878,#78C850,#9CAF6E,ground,NA,//archives.bulbagarden.net/media/upload/5/59/585MS6.png,5,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/585.png
650,chespin,650,0.4,9,63,grass,NA,56,61,65,48,45,38,#78C850,NA,NA,ground,NA,//archives.bulbagarden.net/media/upload/2/27/650MS6.png,6,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/650.png
676,furfrou,676,1.2,28,165,normal,NA,75,80,60,65,90,102,#A8A878,NA,NA,ground,NA,//archives.bulbagarden.net/media/upload/8/80/676MS6.png,6,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/676.png
689,barbaracle,689,1.3,96,175,rock,water,72,105,115,54,86,68,#B8A038,#6890F0,#A49C64,water3,NA,//archives.bulbagarden.net/media/upload/b/bb/689MS6.png,6,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/689.png
706,goodra,706,2,150.5,270,dragon,NA,90,100,70,110,150,80,#7038F8,NA,NA,dragon,NA,//archives.bulbagarden.net/media/upload/0/08/706MS6.png,6,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/706.png
721,volcanion,721,1.7,195,270,fire,water,80,110,120,130,90,70,#F08030,#6890F0,#CF835E,no-eggs,NA,//archives.bulbagarden.net/media/upload/e/ec/721MS6.png,6,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/721.png
727,incineroar,727,1.8,83,239,fire,dark,95,115,90,80,90,60,#F08030,#705848,#D07635,ground,NA,NA,7,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/727.png
738,vikavolt,738,1.5,45,225,bug,electric,77,70,90,145,75,43,#A8B820,#F8D030,#BBBD23,bug,NA,NA,7,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/738.png
742,cutiefly,742,0.1,0.2,61,bug,fairy,40,45,40,55,40,84,#A8B820,#EE99AC,#B8B041,bug,fairy,NA,7,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/742.png
744,rockruff,744,0.5,9.2,56,rock,NA,45,65,40,30,40,60,#B8A038,NA,NA,ground,NA,NA,7,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/744.png
760,bewear,760,2.1,135,175,normal,fighting,120,125,80,55,60,60,#A8A878,#C03028,#AD8A64,ground,NA,NA,7,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/760.png
